#      face_x        face_y        face_z
      0.67368      0.655327      0.995096
     0.674887      0.656666        0.9828
     0.687424      0.657252      0.983142
     0.673648      0.732269      0.992442
     0.688563      0.731223      0.993061
     0.866198       0.74084       1.00023
         0.55      0.781346       0.96914
     0.672892      0.781278      0.968441
      0.67598      0.781762      0.980177
     0.311144       1.04289      0.981382
     0.433826       1.01619      0.990528
         0.61       1.13125      0.956257
     0.611296       1.11861      0.992566
     0.917268       1.11647      0.990977
     0.911657       1.11895      0.995042
      0.38125      0.691788       1.03045
     0.376165      0.690509       1.03371
     0.386875      0.691784       1.03434
      0.67188      0.681565       1.03098
     0.674826      0.693421       1.04225
     0.674805      0.731008       1.00514
      0.68747      0.730344       1.00479
      0.68125      0.735512       1.00434
     0.850586      0.729812       1.00666
      0.38125      0.796379       1.05519
     0.851577      0.782533       1.02051
         0.85      0.781529       1.03148
     0.857817      0.784192       1.01523
     0.310394        1.0317       1.00628
     0.795233       1.05631       1.02612
     0.910405       1.06887       1.04378
      0.68125      0.651884       1.09491
     0.370859      0.681882       1.08126
     0.371918      0.681828       1.09399
     0.389531      0.681026       1.09348
     0.674766      0.657344       1.09424
     0.674971      0.678259       1.09474
     0.686859      0.678251       1.09491
      0.68125      0.682195        1.0961
     0.851615       0.69496       1.06698
      0.37473      0.744159       1.06945
      0.38125      0.746392       1.06442
     0.387609      0.744785       1.06991
     0.371081      0.743295       1.08129
         0.39      0.743715        1.0814
     0.376167      0.797519       1.05867
         0.49      0.781252       1.06875
         0.51      0.781252       1.06875
     0.851549      0.768735       1.08023
     0.857842      0.768096       1.08646
     0.611531      0.967496       1.09431
      0.61875      0.977799       1.08904
     0.612987       0.97938       1.09446
     0.910959       1.01907       1.09329
      0.61875       1.08477       1.10309
     0.618728       1.13211       1.07961
     0.374729      0.679427        1.1045
      0.38125      0.676989        1.1091
     0.387085      0.679345       1.10449
     0.674864      0.680897       1.14252
     0.686974      0.681018       1.14259
     0.374786       0.73285       1.12964
      0.49513      0.726461       1.12765
     0.490164      0.732721        1.1295
      0.50487      0.726461       1.12765
     0.509836      0.732721        1.1295
     0.675981      0.743019       1.14523
         0.49      0.781227       1.13125
         0.51      0.781227       1.13125
     0.795479      0.803731       1.12936
     0.804521      0.803731       1.12936
     0.387082      0.805538       1.11758
     0.681251      0.803488       1.12956
      0.67294      0.805858       1.14422
     0.675985      0.804895       1.13333
     0.686974      0.805472       1.13336
     0.310466      0.869574       1.14419
     0.310401      0.893476       1.13098
     0.688555      0.856409       1.11912
     0.671831      0.869009       1.13114
     0.673685      0.881726       1.14304
     0.688167      0.881628       1.14308
     0.790165      0.867726       1.11818
     0.610401      0.956094       1.13107
     0.795258       1.02469       1.10678
     0.612975       1.08287       1.10785
     0.672895       0.74382        1.1566
      0.67464      0.830731       1.19271
     0.687201      0.830621       1.19275
     0.795133       0.82567       1.19571
     0.804867       0.82567       1.19571
     0.674779      0.880251       1.15567
     0.687106      0.880307       1.15549
      0.68125      0.885073       1.15549
     0.790009      0.880492       1.16822
     0.809991      0.880492       1.16822
     0.490421       1.01644       1.17887
     0.509579       1.01644       1.17887
      0.61297       1.00789       1.17969
      0.61875       1.00852        1.1847
     0.795236       1.02617       1.17037
     0.790162       1.03233       1.16898
     0.809838       1.03233       1.16898
      0.68125      0.768898        1.2104
     0.687147      0.768468        1.2051
     0.494914      0.924693       1.21678
     0.490154      0.931887       1.21881
     0.509846      0.931887       1.21881
         0.79      0.918227       1.21834
     0.490162      0.980539       1.23122
     0.495251      0.987443        1.2321
     0.509838      0.980539       1.23122
     0.504749      0.987443        1.2321
     0.795243      0.980062       1.22727
     0.790195      0.980725       1.23337
     0.804757      0.980062       1.22727
     0.809805      0.980725       1.23337
        0.558      0.856792      0.715111
         0.75       1.00625      0.706265
     0.556887      0.709912      0.753938
     0.256669      0.764109       0.75772
         0.75      0.906243      0.756256
         0.75      0.955768      0.756374
         0.45       1.00832      0.756804
         0.75       1.00578       0.75598
      0.55829      0.808469      0.795297
     0.256807      0.852479      0.808922
         0.75       0.85625       0.80625
         0.45      0.906288      0.806445
         0.75      0.905788      0.805969
         0.45      0.956246      0.806247
     0.911651      0.957722      0.806817
         0.45       1.00625      0.806254
     0.257084       1.05253      0.809286
         0.45        1.0562       0.80624
         0.75       1.05625      0.806267
     0.448551       1.10751      0.809123
     0.748875       1.10387      0.806898
     0.911601       1.10545      0.808658
         0.45       1.15612      0.806185
     0.557509      0.756839       0.86229
         0.75      0.806442      0.856163
         0.75      0.856198      0.856198
         0.45      0.906292      0.856266
      0.91383      0.908677      0.858668
     0.449329      0.955735      0.855596
     0.911571      0.956027      0.856179
     0.448116       1.00611      0.855193
     0.748835       1.00809      0.856104
      0.91022       1.00605      0.856206
         0.75       1.05625       0.85625
         0.91       1.05625       0.85625
     0.449237       1.10659      0.855147
         0.91        1.1062      0.856258
     0.858334      0.608631      0.896833
         0.75      0.806872      0.906029
       0.2583       0.85403      0.915471
         0.75      0.856292      0.906216
         0.45      0.906232       0.90623
      0.91263       0.90799      0.905992
     0.257502      0.955673      0.912759
     0.911231      0.955239      0.905667
     0.610693       1.00521      0.906753
     0.748791       1.00785      0.907614
     0.256336       1.05433      0.901992
         0.61       1.05619      0.906289
         0.75       1.05626      0.906253
     0.912759        1.0562      0.902811
     0.449154       1.10783      0.906542
     0.610007       1.10619      0.907031
         0.45       1.15505      0.906733
         0.91       1.15625      0.906565
         0.91       1.20619      0.906178
     0.856868      0.706084      0.962775
      0.55736      0.847293      0.959155
     0.558058      0.906349      0.947049
         0.61       0.95896      0.956219
         0.75      0.956837      0.956669
     0.913879      0.954491       0.95484
     0.311602        1.0068      0.958361
         0.75       1.00627      0.956291
     0.610431        1.0576      0.956414
      0.74858        1.0568      0.954862
         0.45       1.10625      0.956257
         0.61       1.10625       0.95625
     0.449325        1.1557      0.955994
         0.61       1.15619      0.956291
     0.912683       1.15475      0.957267
     0.857058       0.61355       1.00552
     0.556354      0.706754       1.00006
     0.505023      0.805732       1.01536
     0.858341       0.84751        1.0084
     0.312694      0.958374       1.00753
      0.44804      0.958747       1.00527
     0.804612      0.961169       1.01189
     0.913857       0.95879        1.0088
         0.31       1.00625       1.00592
         0.45       1.00625       1.00654
         0.31       1.05625       1.00626
         0.45       1.05626       1.00627
     0.804895       1.04936       1.00649
     0.312472       1.10396       1.00587
         0.45       1.10581       1.00653
     0.910481       1.10671       1.00633
         0.61       1.15579        1.0061
         0.91       1.15615       1.00629
     0.856546       0.66308       1.05484
     0.312727      0.906056       1.05819
     0.504734      0.914339       1.05852
     0.804467      0.897892       1.05849
         0.61      0.954737       1.05723
     0.911461      0.958074       1.05662
         0.45       1.00652       1.05566
     0.910681       1.00583       1.05675
         0.91       1.05626       1.05627
         0.31       1.10621       1.05626
     0.448034       1.10509       1.05494
         0.91       1.10624       1.05624
         0.61       1.15641       1.05643
     0.912528       1.15648        1.0538
     0.612672       1.20529       1.05771
     0.504967      0.710294       1.10291
     0.857069       0.71008       1.10323
     0.857287      0.804271       1.09808
         0.31      0.856957        1.1065
     0.311311      0.905141       1.10613
     0.612719      0.909455       1.10735
     0.610229      0.956207       1.10623
     0.612569        1.0071       1.10645
     0.804448       1.00978       1.09581
     0.911732       1.00553       1.10306
     0.312863       1.05917       1.10449
         0.61       1.05642       1.10692
         0.91       1.05635       1.10607
     0.310232       1.10613       1.10609
