#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497       277.641
     0.557814      0.747833      0.853327       310.448
     0.257991       0.96662      0.855041       278.321
     0.257794       0.96429      0.903364       309.515
     0.612926       1.00811      0.954911       296.255
     0.312852       1.05816        1.0564       294.615
     0.313318      0.859674       1.15537       288.283
     0.311458       1.05658       1.20625       302.793
     0.557745       0.89419       0.75114       307.515
     0.251533      0.842823      0.793507       294.339
     0.550632      0.844108      0.793936       302.628
     0.742187      0.851435      0.754611       286.331
     0.551473      0.893068      0.757303       294.121
     0.257843       0.95084       0.79388       310.575
     0.251533      0.957177      0.793507       294.348
     0.442011       1.09369      0.804892       279.411
     0.257841      0.750643      0.845653       310.873
         0.85      0.743755       0.84373       301.649
      0.25152      0.757168      0.845171       294.859
     0.387032      0.757376      0.845008       290.664
     0.742189      0.813446      0.804762        299.22
     0.742168      0.886074      0.841342       306.957
      0.25152       1.04283      0.845171       294.878
     0.387025      0.695481      0.857748       292.662
     0.551509      0.742262      0.855498       293.724
     0.257991       0.83338      0.855041       278.326
     0.850606      0.844184      0.892693       292.932
     0.442181      0.937768       0.89121       316.414
     0.912805      0.943511      0.857973       287.226
     0.913038       1.14399       0.89569       283.022
     0.387023      0.644593      0.944683       286.548
     0.556871      0.699653      0.945171       305.808
     0.687042      0.694287      0.945339       275.381
     0.550766       0.70684      0.943642       296.764
     0.387144       0.75756      0.905371       290.672
     0.557779      0.794387      0.952241       310.225
     0.257794       0.83571      0.903364       309.552
     0.851527      0.844176      0.903931       288.171
     0.910977       1.14409      0.943675       292.716
     0.911692       1.15509      0.943849       288.823
     0.386903      0.654712      0.993903       285.847
     0.688563      0.656299      0.994548       287.723
     0.551473      0.744246      0.993007        294.24
     0.689601      0.706093      0.956533       291.454
     0.857767      0.740785       1.00021       305.554
     0.551516       0.79322      0.958079        295.35
     0.687072      0.693273        1.0423       273.954
     0.851544      0.741663       1.00668       291.746
     0.611332       1.14507       1.04367        293.57
     0.611317        1.1553       1.04358       295.655
     0.687085      0.657312       1.09436       274.026
     0.495292      0.751244       1.05703         300.8
     0.386886      0.796112       1.05931       286.233
     0.912882       1.09175        1.0922       284.655
     0.611731       1.14388       1.09284       297.011
     0.912894       1.14246       1.05465       289.359
     0.686519      0.743018       1.14523        272.11
     0.689295      0.806348       1.14399       297.919
