#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497       295.426
     0.557814      0.747833      0.853327       316.071
     0.257991       0.96662      0.855041        281.76
     0.257794       0.96429      0.903364       313.576
     0.612926       1.00811      0.954911       305.687
     0.312852       1.05816        1.0564       298.285
     0.313318      0.859674       1.15537        291.55
     0.311458       1.05658       1.20625        305.06
     0.557745       0.89419       0.75114       313.989
     0.251533      0.842823      0.793507       296.804
     0.550632      0.844108      0.793936       310.868
     0.742187      0.851435      0.754611       306.504
     0.551473      0.893068      0.757303       301.142
     0.257843       0.95084       0.79388       313.048
     0.251533      0.957177      0.793507       296.803
     0.442011       1.09369      0.804892       284.351
     0.257841      0.750643      0.845653       315.113
         0.85      0.743755       0.84373       318.603
      0.25152      0.757168      0.845171       299.055
     0.387032      0.757376      0.845008       301.075
     0.742189      0.813446      0.804762       310.219
     0.742168      0.886074      0.841342       316.305
      0.25152       1.04283      0.845171       298.897
     0.387025      0.695481      0.857748       301.596
     0.551509      0.742262      0.855498       299.659
     0.257991       0.83338      0.855041       282.078
     0.850606      0.844184      0.892693       307.029
     0.442181      0.937768       0.89121       323.307
     0.912805      0.943511      0.857973       296.863
     0.913038       1.14399       0.89569       297.465
     0.387023      0.644593      0.944683       298.062
     0.556871      0.699653      0.945171       311.723
     0.687042      0.694287      0.945339       300.464
     0.550766       0.70684      0.943642       302.402
     0.387144       0.75756      0.905371       300.182
     0.557779      0.794387      0.952241       316.986
     0.257794       0.83571      0.903364       313.911
     0.851527      0.844176      0.903931       300.516
     0.910977       1.14409      0.943675       307.871
     0.911692       1.15509      0.943849       302.788
     0.386903      0.654712      0.993903       296.576
     0.688563      0.656299      0.994548       309.754
     0.551473      0.744246      0.993007       300.795
     0.689601      0.706093      0.956533       315.434
     0.857767      0.740785       1.00021       317.299
     0.551516       0.79322      0.958079       302.334
     0.687072      0.693273        1.0423       300.559
     0.851544      0.741663       1.00668       303.326
     0.611332       1.14507       1.04367       302.836
     0.611317        1.1553       1.04358       304.502
     0.687085      0.657312       1.09436       300.008
     0.495292      0.751244       1.05703       313.183
     0.386886      0.796112       1.05931       296.539
     0.912882       1.09175        1.0922       301.329
     0.611731       1.14388       1.09284       308.135
     0.912894       1.14246       1.05465        302.58
     0.686519      0.743018       1.14523       297.381
     0.689295      0.806348       1.14399       317.499
     0.495328      0.950399        1.1065       317.201
     0.612945      0.944867       1.14287        302.07
     0.310628       1.09398       1.10627       314.813
     0.612617       1.14314       1.10383        307.81
     0.688924      0.743857       1.15656       314.584
     0.795272      0.891955       1.16268       322.511
     0.804728      0.891955       1.16268       322.073
     0.311411      0.992369        1.1939       306.313
     0.311756       1.05676       1.19506       299.847
     0.312502      0.894726       1.20545         302.5
     0.795214      0.863849       1.24574       315.778
     0.804786      0.863849       1.24574       315.343
     0.313066      0.945485       1.24198       299.052
     0.795272      0.935403       1.20719        316.33
     0.804728      0.935403       1.20719       315.925
     0.311597      0.957384       1.24295       307.264
     0.266289      0.916437       0.76047       316.339
         0.75      0.968454       0.75598       307.848
     0.748267      0.968768      0.766286       291.319
     0.748463       1.01788       0.75756       297.382
     0.749356       1.00581      0.768134       301.571
     0.748562      0.819898      0.806476       299.785
      0.91875       1.00324      0.815161       292.701
     0.912967       1.00533      0.819908       297.362
     0.566202       0.74779      0.853612       315.828
     0.266189      0.966621      0.855045       281.219
     0.257861      0.763981      0.917751       312.565
     0.374667      0.757497      0.905367       302.819
     0.566241      0.760954      0.916255       315.101
     0.374928      0.807347      0.917673       298.039
     0.266201       0.96437      0.903532       312.854
      0.91875       1.01894      0.893224       260.074
      0.67188      0.705903      0.956575       315.112
     0.612941        1.0586      0.966908       305.224
         0.45       1.01863       1.00653       313.435
     0.804767       1.05631       1.02612       319.631
      0.31875       1.10848       1.01627       282.548
     0.312817       1.10405       1.01797       296.634
     0.449391       1.10475       1.01903       308.736
     0.617247       1.11711      0.997424       292.269
     0.910705       1.11886       1.00633        313.45
     0.374779      0.805665       1.11755       301.059
     0.672711      0.856324       1.11909       313.225
     0.809835      0.867726       1.11818       296.343
      0.31875      0.910704       1.11883       282.627
     0.312877      0.904916       1.11853       295.816
     0.610629      0.968756       1.10635       319.084
     0.804742       1.02469       1.10678       314.826
      0.91875       1.01967       1.10631       256.151
     0.913654       1.01959       1.10289       288.885
      0.31875       1.07766       1.11786       286.968
      0.61875       1.14844       1.10274       302.745
     0.671711      0.818751       1.16879       321.657
     0.804764       1.02617       1.17037       313.438
      0.31875       1.07682       1.16841       275.457
     0.674715      0.768605       1.20505       304.753
     0.505086      0.924693       1.21678       313.911
         0.81      0.918227       1.21834        311.77
     0.313691       1.05609       1.21647       287.652
     0.557801      0.783913      0.752575       314.534
     0.566195      0.783994      0.752597       311.689
     0.566207      0.894207      0.751151       315.871
     0.551481      0.732366      0.793432       300.793
     0.557769      0.726582      0.791968       316.211
     0.566169      0.726614      0.791879       314.159
     0.551562      0.782512      0.757904       298.424
         0.55      0.781558      0.768802       309.121
     0.550776      0.781011      0.780521       299.911
      0.55697      0.781685      0.787587       321.565
     0.551485      0.832127      0.792677        301.37
     0.733835      0.851465      0.754593       309.703
     0.250807       0.88138      0.754792       295.402
     0.266289      0.883563       0.76047       315.883
     0.550634      0.880991      0.756089       309.682
     0.266168       0.95085       0.79395       311.199
     0.433831      0.930896      0.788128       314.817
         0.25      0.968881      0.793725       311.653
     0.433817        1.0937      0.804893       284.055
      0.38125      0.696646      0.852673       306.837
      0.26619      0.750732      0.845453       313.638
     0.374796      0.757272       0.84501       302.696
     0.733827      0.813461      0.804824       313.763
     0.550633      0.894199      0.831575       310.382
     0.551476      0.882108       0.83067       302.711
     0.557733      0.881345      0.837302       316.895
     0.733799      0.886057      0.841401        314.54
      0.91875      0.942288      0.853012       277.932
     0.442194       1.03322      0.835486       314.212
     0.910454       1.00645      0.831373       314.552
     0.374805      0.695363      0.857743       304.944
         0.55      0.693964      0.881234       312.021
     0.551728      0.682369      0.891976       295.249
     0.550699      0.682653      0.879818       297.467
     0.557933      0.676311      0.890631       293.698
     0.566229      0.676524      0.890794       292.555
         0.85      0.682208      0.868984       308.829
     0.851715      0.733348      0.866122       295.427
     0.742175      0.801453      0.876985       322.767
     0.733746       0.80174      0.877534       319.439
      0.85174       0.79496      0.867234        296.92
     0.251744      0.828444      0.854821       293.285
     0.266189      0.833379      0.855045       281.515
     0.374822      0.830192      0.869242       301.663
     0.371728      0.818694      0.893791       315.669
         0.39      0.818751      0.893748       315.393
      0.55784      0.901975      0.883202       315.883
     0.566177       0.90199      0.883251       313.764
     0.733625      0.862705      0.883616       320.057
         0.85      0.856768      0.881343       315.807
     0.433794      0.937756      0.891247       321.977
         0.55      0.943675      0.868588       317.078
     0.551572      0.907561      0.881722       297.859
         0.55      0.918984      0.881632       313.582
         0.25      0.981658      0.855477       312.622
     0.910401      0.956387      0.881138       316.529
      0.61875       1.01624      0.890732       305.032
     0.612974       1.01723      0.895482       305.463
     0.913659       1.01825      0.890052       291.586
     0.617267       1.08262       0.90245       292.778
     0.913662       1.08124      0.890225       290.253
     0.374857      0.644642      0.944518       302.334
     0.851544       0.64522      0.917372       300.788
     0.866185      0.639723      0.918395       314.545
      0.56636      0.699715      0.945326       312.268
     0.674872      0.694123      0.945384       301.504
     0.566186      0.794434       0.95227       317.039
      0.68125      0.766523      0.927117       282.779
     0.675931      0.767807       0.93172       286.617
     0.251515      0.829974      0.905367       300.002
     0.266201       0.83563      0.903532       313.163
     0.386973      0.807459       0.91769       297.664
         0.25      0.981444      0.906302       313.227
     0.251552       1.02995      0.917143       298.461
     0.257861       1.03602      0.917751       312.497
     0.611295       1.08134      0.907394       307.807
         0.61       1.06875      0.943743       323.351
     0.618745       1.14179      0.928525       294.816
     0.613125         1.143      0.933438       298.911
     0.911666       1.13179       0.90566       304.646
     0.913184       1.13441      0.943571       291.377
      0.68125      0.652152      0.983822       298.658
      0.37494      0.654653      0.993763       299.964
      0.67368      0.655327      0.995096       307.802
     0.674887      0.656666        0.9828       306.534
     0.687424      0.657252      0.983142       305.877
     0.673648      0.732269      0.992442       307.096
     0.688563      0.731223      0.993061        309.12
     0.866198       0.74084       1.00023       315.423
         0.55      0.781346       0.96914       318.061
     0.672892      0.781278      0.968441       312.329
      0.67598      0.781762      0.980177       290.408
     0.311144       1.04289      0.981382       311.313
     0.433826       1.01619      0.990528       317.106
         0.61       1.13125      0.956257       319.823
     0.611296       1.11861      0.992566       305.484
     0.917268       1.11647      0.990977       293.649
     0.911657       1.11895      0.995042       302.641
      0.38125      0.691788       1.03045       258.858
     0.376165      0.690509       1.03371       288.734
     0.386875      0.691784       1.03434        296.18
      0.67188      0.681565       1.03098       315.663
     0.674826      0.693421       1.04225       301.929
     0.674805      0.731008       1.00514       308.232
      0.68747      0.730344       1.00479       305.774
      0.68125      0.735512       1.00434       296.223
     0.850586      0.729812       1.00666       307.675
      0.38125      0.796379       1.05519       260.419
     0.851577      0.782533       1.02051       302.026
         0.85      0.781529       1.03148       315.673
     0.857817      0.784192       1.01523       322.809
     0.310394        1.0317       1.00628       316.094
     0.795233       1.05631       1.02612       320.133
     0.910405       1.06887       1.04378       315.598
      0.68125      0.651884       1.09491       293.829
     0.370859      0.681882       1.08126       319.817
     0.371918      0.681828       1.09399       315.646
     0.389531      0.681026       1.09348       315.552
     0.674766      0.657344       1.09424       301.759
     0.674971      0.678259       1.09474       299.949
     0.686859      0.678251       1.09491       296.415
      0.68125      0.682195        1.0961       262.648
     0.851615       0.69496       1.06698       297.845
      0.37473      0.744159       1.06945       298.876
      0.38125      0.746392       1.06442       289.846
     0.387609      0.744785       1.06991       301.179
     0.371081      0.743295       1.08129        318.56
         0.39      0.743715        1.0814       315.359
     0.376167      0.797519       1.05867       288.888
         0.49      0.781252       1.06875       315.307
         0.51      0.781252       1.06875       308.991
     0.851549      0.768735       1.08023       299.306
     0.857842      0.768096       1.08646       316.239
     0.611531      0.967496       1.09431       312.489
      0.61875      0.977799       1.08904       294.354
     0.612987       0.97938       1.09446       303.797
     0.910959       1.01907       1.09329       311.723
      0.61875       1.08477       1.10309       303.955
     0.618728       1.13211       1.07961       268.691
     0.374729      0.679427        1.1045       304.593
      0.38125      0.676989        1.1091       294.884
     0.387085      0.679345       1.10449       302.331
     0.674864      0.680897       1.14252       303.382
     0.686974      0.681018       1.14259       299.983
     0.374786       0.73285       1.12964       301.545
      0.49513      0.726461       1.12765       320.325
     0.490164      0.732721        1.1295       302.991
      0.50487      0.726461       1.12765       319.961
     0.509836      0.732721        1.1295       302.113
     0.675981      0.743019       1.14523       293.351
         0.49      0.781227       1.13125       317.054
         0.51      0.781227       1.13125       312.913
     0.795479      0.803731       1.12936       290.482
     0.804521      0.803731       1.12936       290.268
     0.387082      0.805538       1.11758       299.113
     0.681251      0.803488       1.12956       298.043
      0.67294      0.805858       1.14422       317.426
     0.675985      0.804895       1.13333       295.628
     0.686974      0.805472       1.13336       303.658
     0.310466      0.869574       1.14419       313.387
     0.310401      0.893476       1.13098       315.168
     0.688555      0.856409       1.11912       309.845
     0.671831      0.869009       1.13114       319.802
     0.673685      0.881726       1.14304       310.991
     0.688167      0.881628       1.14308       308.838
     0.790165      0.867726       1.11818       297.774
     0.610401      0.956094       1.13107       319.034
     0.795258       1.02469       1.10678       315.183
     0.612975       1.08287       1.10785       304.819
     0.672895       0.74382        1.1566       315.436
      0.67464      0.830731       1.19271       305.957
     0.687201      0.830621       1.19275       304.299
     0.795133       0.82567       1.19571       312.451
     0.804867       0.82567       1.19571       311.937
     0.674779      0.880251       1.15567        308.45
     0.687106      0.880307       1.15549       303.921
      0.68125      0.885073       1.15549        292.32
     0.790009      0.880492       1.16822       309.259
     0.809991      0.880492       1.16822       307.301
     0.490421       1.01644       1.17887       295.119
     0.509579       1.01644       1.17887       294.752
      0.61297       1.00789       1.17969       303.722
      0.61875       1.00852        1.1847       304.443
     0.795236       1.02617       1.17037       313.798
     0.790162       1.03233       1.16898       297.389
     0.809838       1.03233       1.16898       296.457
      0.68125      0.768898        1.2104       290.446
     0.687147      0.768468        1.2051       302.376
     0.494914      0.924693       1.21678       314.358
     0.490154      0.931887       1.21881         302.4
     0.509846      0.931887       1.21881       301.533
         0.79      0.918227       1.21834       316.265
     0.490162      0.980539       1.23122       300.165
     0.495251      0.987443        1.2321       313.065
     0.509838      0.980539       1.23122       298.826
     0.504749      0.987443        1.2321       312.675
     0.795243      0.980062       1.22727       294.446
     0.790195      0.980725       1.23337       294.651
     0.804757      0.980062       1.22727       294.217
     0.809805      0.980725       1.23337       293.601
        0.558      0.856792      0.715111       281.042
         0.75       1.00625      0.706265       305.441
     0.556887      0.709912      0.753938       335.373
     0.256669      0.764109       0.75772       281.381
         0.75      0.906243      0.756256        308.84
         0.75      0.955768      0.756374        304.54
         0.45       1.00832      0.756804       294.454
         0.75       1.00578       0.75598       306.089
      0.55829      0.808469      0.795297        267.86
     0.256807      0.852479      0.808922         335.3
         0.75       0.85625       0.80625       309.252
         0.45      0.906288      0.806445       308.939
         0.75      0.905788      0.805969       307.155
         0.45      0.956246      0.806247       312.569
     0.911651      0.957722      0.806817       288.556
         0.45       1.00625      0.806254       306.767
     0.257084       1.05253      0.809286       325.522
         0.45        1.0562       0.80624       309.025
         0.75       1.05625      0.806267       309.426
     0.448551       1.10751      0.809123       289.068
     0.748875       1.10387      0.806898       279.603
     0.911601       1.10545      0.808658       287.997
         0.45       1.15612      0.806185       304.219
     0.557509      0.756839       0.86229       283.733
         0.75      0.806442      0.856163        309.13
         0.75      0.856198      0.856198       312.898
         0.45      0.906292      0.856266       314.238
      0.91383      0.908677      0.858668       274.354
     0.449329      0.955735      0.855596       300.561
     0.911571      0.956027      0.856179       309.216
     0.448116       1.00611      0.855193       290.963
     0.748835       1.00809      0.856104       282.066
      0.91022       1.00605      0.856206       317.891
         0.75       1.05625       0.85625       309.435
         0.91       1.05625       0.85625       316.199
     0.449237       1.10659      0.855147       298.703
         0.91        1.1062      0.856258       317.272
     0.858334      0.608631      0.896833       284.833
         0.75      0.806872      0.906029       301.848
       0.2583       0.85403      0.915471       265.445
         0.75      0.856292      0.906216       306.672
         0.45      0.906232       0.90623        311.35
      0.91263       0.90799      0.905992       292.052
     0.257502      0.955673      0.912759       276.778
     0.911231      0.955239      0.905667       304.282
     0.610693       1.00521      0.906753       316.596
     0.748791       1.00785      0.907614       279.502
     0.256336       1.05433      0.901992       339.302
         0.61       1.05619      0.906289       319.861
         0.75       1.05626      0.906253       308.102
     0.912759        1.0562      0.902811        283.66
     0.449154       1.10783      0.906542       296.477
     0.610007       1.10619      0.907031       312.143
         0.45       1.15505      0.906733       300.565
         0.91       1.15625      0.906565       316.018
         0.91       1.20619      0.906178       314.594
     0.856868      0.706084      0.962775       297.541
      0.55736      0.847293      0.959155       278.458
     0.558058      0.906349      0.947049       280.123
         0.61       0.95896      0.956219       303.877
         0.75      0.956837      0.956669       300.658
     0.913879      0.954491       0.95484       282.464
     0.311602        1.0068      0.958361       286.763
         0.75       1.00627      0.956291       309.862
     0.610431        1.0576      0.956414       321.431
      0.74858        1.0568      0.954862       295.229
         0.45       1.10625      0.956257       312.627
         0.61       1.10625       0.95625       319.671
     0.449325        1.1557      0.955994        301.02
         0.61       1.15619      0.956291       319.012
     0.912683       1.15475      0.957267       298.147
     0.857058       0.61355       1.00552       290.917
     0.556354      0.706754       1.00006       305.156
     0.505023      0.805732       1.01536       284.301
     0.858341       0.84751        1.0084       273.644
     0.312694      0.958374       1.00753       291.609
      0.44804      0.958747       1.00527       282.966
     0.804612      0.961169       1.01189       324.885
     0.913857       0.95879        1.0088       278.366
         0.31       1.00625       1.00592       317.733
         0.45       1.00625       1.00654       312.504
         0.31       1.05625       1.00626       318.951
         0.45       1.05626       1.00627       312.417
     0.804895       1.04936       1.00649       299.478
     0.312472       1.10396       1.00587       297.497
         0.45       1.10581       1.00653       315.417
     0.910481       1.10671       1.00633       315.335
         0.61       1.15579        1.0061       314.497
         0.91       1.15615       1.00629        316.34
     0.856546       0.66308       1.05484       291.542
     0.312727      0.906056       1.05819       292.697
     0.504734      0.914339       1.05852       283.297
     0.804467      0.897892       1.05849       281.288
         0.61      0.954737       1.05723       304.562
     0.911461      0.958074       1.05662       296.688
         0.45       1.00652       1.05566       303.888
     0.910681       1.00583       1.05675       311.136
         0.91       1.05626       1.05627       316.666
         0.31       1.10621       1.05626       317.392
     0.448034       1.10509       1.05494       287.003
         0.91       1.10624       1.05624       319.068
         0.61       1.15641       1.05643       312.181
     0.912528       1.15648        1.0538       297.605
     0.612672       1.20529       1.05771       292.938
     0.504967      0.710294       1.10291       328.215
     0.857069       0.71008       1.10323       327.576
     0.857287      0.804271       1.09808       277.291
         0.31      0.856957        1.1065       308.617
     0.311311      0.905141       1.10613       303.539
     0.612719      0.909455       1.10735       290.671
     0.610229      0.956207       1.10623       321.047
     0.612569        1.0071       1.10645       308.313
     0.804448       1.00978       1.09581       267.437
     0.911732       1.00553       1.10306       295.863
     0.312863       1.05917       1.10449       285.984
         0.61       1.05642       1.10692       316.054
         0.91       1.05635       1.10607       312.106
     0.310232       1.10613       1.10609       317.865
     0.611301       1.10536       1.10593       314.342
     0.310027       1.15458       1.10565       302.989
     0.612619       1.20627       1.10465       301.137
     0.504754      0.714451       1.15459       283.083
         0.31      0.906226       1.15626       317.095
     0.804257       0.90412       1.16877       260.092
     0.612438      0.957892       1.15636       303.723
      0.61024       1.00599       1.15608       320.192
     0.804726       1.01082       1.15315       323.157
     0.504905       1.05118       1.15324       327.654
         0.61       1.05621       1.15618       320.403
         0.31       1.10553       1.15493       303.875
         0.61        1.1062       1.15623         319.7
     0.805395       1.10547       1.15994        346.59
         0.31      0.859218       1.20328       288.404
     0.311158      0.906804       1.20617       309.922
         0.31       0.95625       1.20625       318.317
     0.804237      0.953786       1.21731       260.182
         0.31       1.00617       1.20648       315.075
     0.804917       1.01311       1.20643       300.438
         0.31       1.10569        1.2068       307.242
     0.804955       1.10271       1.20199       325.102
     0.504491      0.758564       1.24707       270.626
     0.505009       0.80611        1.2498       305.298
     0.804885      0.865901       1.25775       285.053
     0.312531      0.959409       1.25494       291.843
     0.311425        1.0064       1.25553        303.15
     0.503805      0.995877       1.25622       253.554
     0.311594        1.1072       1.25413       288.698
     0.504444      0.816806       1.30634       272.853
        0.805       1.04834       1.30586       288.125
     0.504476      0.853618       1.34708       268.243
     0.251979      0.895177      0.646347       276.332
     0.251966       0.90491      0.646377       275.825
         0.25       0.89416      0.656832       297.383
         0.25      0.894156       0.69375       304.268
         0.25      0.905844       0.69375       304.087
     0.742688       1.00851      0.664922       271.433
     0.742063       1.03719      0.693743       288.918
     0.558355      0.702908      0.741598       268.722
     0.551856      0.708469      0.742515       280.819
         0.55      0.743637      0.743865       309.067
     0.556456       0.74165      0.709193       327.817
         0.25      0.794233      0.744959       296.591
         0.55      0.755919      0.744089       304.572
     0.557786      0.799306        0.7493       328.108
         0.25      0.806303      0.744207       303.459
         0.25      0.843566      0.744784       299.186
     0.551655      0.807558      0.746317       283.036
         0.55      0.843846      0.743882       311.196
     0.558353      0.846767      0.717698       259.623
     0.742097      0.853097      0.742977       283.676
         0.25       0.89415      0.706255       304.799
     0.250846      0.856579      0.745096       292.562
         0.25      0.893756      0.743409       306.965
         0.55       0.85624      0.743806        314.64
     0.556385      0.887284      0.742077       290.984
     0.742952      0.893072       0.71418       283.937
         0.25      0.906244      0.743409       307.088
     0.250846      0.943421      0.745096       293.356
      0.74167      0.904114      0.715143       269.234
     0.442614       1.00332      0.747141       270.547
         0.25       1.00577      0.744959       296.912
     0.442808       1.03939      0.748963       324.888
     0.742014       1.03633      0.705898       284.506
     0.857184       0.69888      0.798169       326.038
         0.55      0.743755      0.756258       312.668
         0.55      0.743844      0.793266        311.61
     0.851031      0.707578      0.795099       290.005
         0.85      0.742827       0.79443        298.66
         0.25      0.793919      0.756518       306.066
         0.25      0.793863      0.793303       312.597
     0.551292       0.79579      0.758376       292.025
     0.550722      0.756537      0.793085       304.952
     0.556784      0.796131      0.789897       338.488
         0.85      0.793799      0.794414       301.645
         0.25      0.843688      0.756443       308.047
         0.25      0.806261      0.793752       314.629
         0.55      0.843754      0.756257       315.368
     0.551902      0.807402      0.790822       285.035
     0.743521      0.842445      0.762958        285.68
     0.743114      0.815175      0.792414       288.247
     0.850943      0.806287      0.793758       297.794
     0.851048       0.84494      0.796508       282.092
     0.251605      0.894723      0.753643        288.57
     0.257851      0.854354      0.784434       263.226
         0.55      0.856292      0.793734       318.481
         0.55       0.89375       0.79375        319.94
         0.85      0.855988      0.796232       288.164
         0.25      0.943854      0.756427       305.745
     0.257851      0.945646      0.784434       263.328
     0.442644      0.946637      0.765268       273.907
         0.55       0.90623      0.793757       319.131
      0.55742      0.934117      0.760045        278.21
     0.556321       0.94492      0.799346       312.358
     0.557754      0.938119      0.793297       313.242
         0.25       0.99372       0.75634       310.759
         0.25      0.993739      0.793752        314.63
     0.443628       0.95627      0.763666       293.141
     0.443729       1.00117      0.756557       299.726
     0.556252      0.957256      0.797363       346.599
     0.741764       1.00132      0.791877       279.654
         0.25       1.00614      0.793303       312.358
     0.256669       1.03589       0.75772       281.362
     0.257254       1.04228      0.800933       294.282
     0.741741       1.04144      0.767616       257.261
     0.442106       1.10835      0.803685       299.935
     0.443696       1.18591      0.793811       287.794
         0.85      0.594305       0.84606       292.724
         0.85      0.606273      0.845972       297.022
     0.856892      0.641504      0.847855       340.837
         0.55        0.6938      0.843821       314.253
     0.557149      0.697599      0.810789       330.217
     0.556807      0.658952      0.845528       338.328
     0.851829      0.696584      0.807908       282.618
         0.85      0.693935       0.84383       308.719
     0.257084      0.747475      0.809286       325.859
     0.257854      0.746359      0.855305       255.451
     0.388734      0.744201      0.844094       308.645
         0.55      0.743944      0.805472        312.54
         0.55      0.706254      0.843757       316.419
     0.551473      0.741155       0.84255       293.438
         0.85      0.743791       0.80623       309.451
         0.85      0.706302      0.843757       313.532
         0.25      0.793784      0.806263       313.368
         0.25      0.793723      0.843818       317.506
         0.39      0.793719      0.843882       313.615
     0.742956      0.794272      0.813363       289.432
         0.85        0.7938      0.806402       310.391
         0.85      0.756254      0.843742       318.902
         0.85       0.79375      0.843726       318.163
     0.250762      0.842582      0.806685       296.395
         0.25      0.806155      0.843575       315.751
     0.256303      0.840804      0.839437       339.842
         0.39      0.805651       0.84407       312.239
     0.550632      0.845182      0.806467       302.064
     0.558354      0.846888      0.833412       268.007
