#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497       276.183
     0.557814      0.747833      0.853327       310.418
     0.257991       0.96662      0.855041       278.344
     0.257794       0.96429      0.903364       309.548
     0.612926       1.00811      0.954911       296.392
     0.312852       1.05816        1.0564       294.637
     0.313318      0.859674       1.15537       288.304
     0.311458       1.05658       1.20625       302.811
     0.557745       0.89419       0.75114       307.639
     0.251533      0.842823      0.793507       294.376
     0.550632      0.844108      0.793936       302.605
     0.742187      0.851435      0.754611       282.894
     0.551473      0.893068      0.757303       294.217
     0.257843       0.95084       0.79388       310.588
     0.251533      0.957177      0.793507       294.363
     0.442011       1.09369      0.804892        279.46
     0.257841      0.750643      0.845653       310.907
         0.85      0.743755       0.84373       300.074
      0.25152      0.757168      0.845171       294.893
     0.387032      0.757376      0.845008       291.727
     0.742189      0.813446      0.804762       298.778
     0.742168      0.886074      0.841342       307.007
      0.25152       1.04283      0.845171       294.909
     0.387025      0.695481      0.857748       292.912
     0.551509      0.742262      0.855498       293.728
     0.257991       0.83338      0.855041       278.349
     0.850606      0.844184      0.892693       292.702
     0.442181      0.937768       0.89121       316.507
     0.912805      0.943511      0.857973       288.182
     0.913038       1.14399       0.89569       286.515
     0.387023      0.644593      0.944683       286.903
     0.556871      0.699653      0.945171       305.801
     0.687042      0.694287      0.945339       278.955
     0.550766       0.70684      0.943642       296.757
     0.387144       0.75756      0.905371       289.686
     0.557779      0.794387      0.952241       310.276
     0.257794       0.83571      0.903364       309.582
     0.851527      0.844176      0.903931       287.906
     0.910977       1.14409      0.943675       297.623
     0.911692       1.15509      0.943849       292.442
     0.386903      0.654712      0.993903        286.15
     0.688563      0.656299      0.994548       287.184
     0.551473      0.744246      0.993007       294.256
     0.689601      0.706093      0.956533       295.911
     0.857767      0.740785       1.00021       306.174
     0.551516       0.79322      0.958079         295.4
     0.687072      0.693273        1.0423       273.546
     0.851544      0.741663       1.00668       292.316
     0.611332       1.14507       1.04367       293.889
     0.611317        1.1553       1.04358       295.923
     0.687085      0.657312       1.09436       272.169
     0.495292      0.751244       1.05703       300.733
     0.386886      0.796112       1.05931       286.227
     0.912882       1.09175        1.0922       281.872
     0.611731       1.14388       1.09284       296.614
     0.912894       1.14246       1.05465       287.991
     0.686519      0.743018       1.14523       278.642
     0.689295      0.806348       1.14399       296.917
     0.495328      0.950399        1.1065       309.943
     0.612945      0.944867       1.14287       283.284
     0.310628       1.09398       1.10627       311.082
     0.612617       1.14314       1.10383        295.41
     0.688924      0.743857       1.15656       287.632
     0.795272      0.891955       1.16268       309.491
     0.804728      0.891955       1.16268       307.735
     0.311411      0.992369        1.1939       303.523
     0.311756       1.05676       1.19506       297.934
     0.312502      0.894726       1.20545       298.632
     0.795214      0.863849       1.24574       303.417
     0.804786      0.863849       1.24574       300.057
     0.313066      0.945485       1.24198       295.273
     0.795272      0.935403       1.20719       303.656
     0.804728      0.935403       1.20719       301.304
     0.311597      0.957384       1.24295       303.731
     0.266289      0.916437       0.76047       313.931
         0.75      0.968454       0.75598       283.732
     0.748267      0.968768      0.766286       271.454
     0.748463       1.01788       0.75756       268.859
     0.749356       1.00581      0.768134       272.793
     0.748562      0.819898      0.806476        277.03
      0.91875       1.00324      0.815161       274.583
     0.912967       1.00533      0.819908       283.002
     0.566202       0.74779      0.853612       309.596
     0.266189      0.966621      0.855045       277.612
     0.257861      0.763981      0.917751       308.515
     0.374667      0.757497      0.905367       297.787
     0.566241      0.760954      0.916255       308.582
     0.374928      0.807347      0.917673       288.796
     0.266201       0.96437      0.903532       308.522
      0.91875       1.01894      0.893224       250.282
      0.67188      0.705903      0.956575       304.794
     0.612941        1.0586      0.966908       295.197
         0.45       1.01863       1.00653       304.062
     0.804767       1.05631       1.02612       305.701
      0.31875       1.10848       1.01627       278.187
     0.312817       1.10405       1.01797       292.744
     0.449391       1.10475       1.01903       295.368
     0.617247       1.11711      0.997424       281.496
     0.910705       1.11886       1.00633       293.701
     0.374779      0.805665       1.11755       297.057
     0.672711      0.856324       1.11909       302.212
     0.809835      0.867726       1.11818       285.039
      0.31875      0.910704       1.11883       279.712
     0.312877      0.904916       1.11853       292.979
     0.610629      0.968756       1.10635       303.152
     0.804742       1.02469       1.10678       301.214
      0.91875       1.01967       1.10631       231.279
     0.913654       1.01959       1.10289       262.029
      0.31875       1.07766       1.11786       283.792
      0.61875       1.14844       1.10274       292.005
     0.671711      0.818751       1.16879       308.886
     0.804764       1.02617       1.17037       301.909
      0.31875       1.07682       1.16841        273.45
     0.674715      0.768605       1.20505       290.468
     0.505086      0.924693       1.21678       301.827
         0.81      0.918227       1.21834       276.295
     0.313691       1.05609       1.21647       285.412
     0.557801      0.783913      0.752575       309.484
     0.566195      0.783994      0.752597        305.81
     0.566207      0.894207      0.751151       308.864
     0.551481      0.732366      0.793432        292.99
     0.557769      0.726582      0.791968       308.652
     0.566169      0.726614      0.791879       306.106
     0.551562      0.782512      0.757904       292.797
         0.55      0.781558      0.768802       302.594
     0.550776      0.781011      0.780521        292.37
      0.55697      0.781685      0.787587       313.308
     0.551485      0.832127      0.792677        293.91
     0.733835      0.851465      0.754593       300.203
     0.250807       0.88138      0.754792       293.962
     0.266289      0.883563       0.76047       313.961
     0.550634      0.880991      0.756089       302.864
     0.266168       0.95085       0.79395       308.442
     0.433831      0.930896      0.788128       309.154
         0.25      0.968881      0.793725       309.157
     0.433817        1.0937      0.804893       279.284
      0.38125      0.696646      0.852673       302.876
      0.26619      0.750732      0.845453       308.873
     0.374796      0.757272       0.84501       296.713
     0.733827      0.813461      0.804824       305.039
     0.550633      0.894199      0.831575       300.642
     0.551476      0.882108       0.83067       293.314
     0.557733      0.881345      0.837302       307.024
     0.733799      0.886057      0.841401       306.164
      0.91875      0.942288      0.853012       268.692
     0.442194       1.03322      0.835486       305.567
     0.910454       1.00645      0.831373       299.423
     0.374805      0.695363      0.857743       301.063
         0.55      0.693964      0.881234       307.483
     0.551728      0.682369      0.891976       290.521
     0.550699      0.682653      0.879818       292.455
     0.557933      0.676311      0.890631       288.036
     0.566229      0.676524      0.890794       284.169
         0.85      0.682208      0.868984       299.037
     0.851715      0.733348      0.866122       281.306
     0.742175      0.801453      0.876985       312.945
     0.733746       0.80174      0.877534       310.603
      0.85174       0.79496      0.867234       282.358
     0.251744      0.828444      0.854821       289.357
     0.266189      0.833379      0.855045       277.616
     0.374822      0.830192      0.869242       295.623
     0.371728      0.818694      0.893791       308.897
         0.39      0.818751      0.893748       310.787
      0.55784      0.901975      0.883202       309.758
     0.566177       0.90199      0.883251       307.699
     0.733625      0.862705      0.883616       311.791
         0.85      0.856768      0.881343       295.676
     0.433794      0.937756      0.891247       315.662
         0.55      0.943675      0.868588       302.566
     0.551572      0.907561      0.881722       290.991
         0.55      0.918984      0.881632       303.085
         0.25      0.981658      0.855477       308.896
     0.910401      0.956387      0.881138       306.902
      0.61875       1.01624      0.890732       296.458
     0.612974       1.01723      0.895482       296.513
     0.913659       1.01825      0.890052       280.589
     0.617267       1.08262       0.90245        282.77
     0.913662       1.08124      0.890225        277.34
     0.374857      0.644642      0.944518       298.212
     0.851544       0.64522      0.917372       290.567
     0.866185      0.639723      0.918395       303.487
      0.56636      0.699715      0.945326       305.799
     0.674872      0.694123      0.945384       291.289
     0.566186      0.794434       0.95227        309.66
      0.68125      0.766523      0.927117       255.903
     0.675931      0.767807       0.93172       271.084
     0.251515      0.829974      0.905367       295.536
     0.266201       0.83563      0.903532        308.56
     0.386973      0.807459       0.91769       290.834
         0.25      0.981444      0.906302       309.319
     0.251552       1.02995      0.917143       294.413
     0.257861       1.03602      0.917751       308.573
     0.611295       1.08134      0.907394       298.289
         0.61       1.06875      0.943743       312.647
     0.618745       1.14179      0.928525       283.385
     0.613125         1.143      0.933438       288.274
     0.911666       1.13179       0.90566        293.16
     0.913184       1.13441      0.943571       281.024
      0.68125      0.652152      0.983822       289.944
      0.37494      0.654653      0.993763        295.84
      0.67368      0.655327      0.995096       299.074
     0.674887      0.656666        0.9828       298.218
     0.687424      0.657252      0.983142       280.784
     0.673648      0.732269      0.992442       296.729
     0.688563      0.731223      0.993061       277.247
     0.866198       0.74084       1.00023       302.422
         0.55      0.781346       0.96914       310.811
     0.672892      0.781278      0.968441       301.042
      0.67598      0.781762      0.980177       282.089
     0.311144       1.04289      0.981382       306.185
     0.433826       1.01619      0.990528       306.617
         0.61       1.13125      0.956257       308.925
     0.611296       1.11861      0.992566       294.761
     0.917268       1.11647      0.990977       275.192
     0.911657       1.11895      0.995042       284.432
      0.38125      0.691788       1.03045        254.97
     0.376165      0.690509       1.03371        284.63
     0.386875      0.691784       1.03434       283.924
      0.67188      0.681565       1.03098       305.391
     0.674826      0.693421       1.04225       292.099
     0.674805      0.731008       1.00514       298.221
      0.68747      0.730344       1.00479       270.811
      0.68125      0.735512       1.00434       285.563
     0.850586      0.729812       1.00666        295.69
      0.38125      0.796379       1.05519       256.839
     0.851577      0.782533       1.02051       292.895
         0.85      0.781529       1.03148       305.906
     0.857817      0.784192       1.01523       313.563
     0.310394        1.0317       1.00628       311.699
     0.795233       1.05631       1.02612       309.002
     0.910405       1.06887       1.04378       294.012
      0.68125      0.651884       1.09491       284.672
     0.370859      0.681882       1.08126       315.193
     0.371918      0.681828       1.09399       310.821
     0.389531      0.681026       1.09348       305.306
     0.674766      0.657344       1.09424       292.279
     0.674971      0.678259       1.09474       290.846
     0.686859      0.678251       1.09491       269.981
      0.68125      0.682195        1.0961       253.731
     0.851615       0.69496       1.06698       285.447
      0.37473      0.744159       1.06945       294.818
      0.38125      0.746392       1.06442       285.797
     0.387609      0.744785       1.06991        292.41
     0.371081      0.743295       1.08129       314.124
         0.39      0.743715        1.0814       309.116
     0.376167      0.797519       1.05867       285.425
         0.49      0.781252       1.06875       305.118
         0.51      0.781252       1.06875       302.091
     0.851549      0.768735       1.08023       290.271
     0.857842      0.768096       1.08646        307.31
     0.611531      0.967496       1.09431       296.879
      0.61875      0.977799       1.08904       284.035
     0.612987       0.97938       1.09446       292.186
     0.910959       1.01907       1.09329       287.343
      0.61875       1.08477       1.10309       294.721
     0.618728       1.13211       1.07961       258.079
     0.374729      0.679427        1.1045       299.991
      0.38125      0.676989        1.1091       290.059
     0.387085      0.679345       1.10449       290.442
     0.674864      0.680897       1.14252         293.8
     0.686974      0.681018       1.14259       273.363
     0.374786       0.73285       1.12964       297.181
      0.49513      0.726461       1.12765       309.891
     0.490164      0.732721        1.1295       294.265
      0.50487      0.726461       1.12765       304.194
     0.509836      0.732721        1.1295        288.42
     0.675981      0.743019       1.14523       277.735
         0.49      0.781227       1.13125       308.995
         0.51      0.781227       1.13125       297.795
     0.795479      0.803731       1.12936       270.742
     0.804521      0.803731       1.12936        268.08
     0.387082      0.805538       1.11758        291.05
     0.681251      0.803488       1.12956       286.686
