#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497       285.625
     0.557814      0.747833      0.853327       310.764
     0.257991       0.96662      0.855041       280.281
     0.257794       0.96429      0.903364       311.705
     0.612926       1.00811      0.954911       298.265
     0.312852       1.05816        1.0564       296.954
     0.313318      0.859674       1.15537       290.342
     0.311458       1.05658       1.20625       304.167
     0.557745       0.89419       0.75114       311.284
     0.251533      0.842823      0.793507       296.499
     0.550632      0.844108      0.793936       307.681
     0.742187      0.851435      0.754611       298.829
     0.551473      0.893068      0.757303       297.955
     0.257843       0.95084       0.79388         312.5
     0.251533      0.957177      0.793507       296.561
     0.442011       1.09369      0.804892       281.485
     0.257841      0.750643      0.845653        313.06
         0.85      0.743755       0.84373       310.388
      0.25152      0.757168      0.845171       297.255
     0.387032      0.757376      0.845008       285.989
     0.742189      0.813446      0.804762       302.802
     0.742168      0.886074      0.841342       307.738
      0.25152       1.04283      0.845171       297.246
     0.387025      0.695481      0.857748       293.696
     0.551509      0.742262      0.855498       293.526
     0.257991       0.83338      0.855041        280.43
     0.850606      0.844184      0.892693       294.597
     0.442181      0.937768       0.89121       318.333
     0.912805      0.943511      0.857973       290.868
     0.913038       1.14399       0.89569       290.616
     0.387023      0.644593      0.944683       287.872
     0.556871      0.699653      0.945171       307.113
     0.687042      0.694287      0.945339       269.292
     0.550766       0.70684      0.943642       298.048
     0.387144       0.75756      0.905371        292.08
     0.557779      0.794387      0.952241       311.977
     0.257794       0.83571      0.903364       311.421
     0.851527      0.844176      0.903931       286.308
     0.910977       1.14409      0.943675       301.001
     0.911692       1.15509      0.943849       295.875
     0.386903      0.654712      0.993903       289.562
     0.688563      0.656299      0.994548       293.061
     0.551473      0.744246      0.993007       296.063
     0.689601      0.706093      0.956533       292.365
     0.857767      0.740785       1.00021       306.748
     0.551516       0.79322      0.958079       297.302
     0.687072      0.693273        1.0423       285.874
     0.851544      0.741663       1.00668       293.719
     0.611332       1.14507       1.04367       296.925
     0.611317        1.1553       1.04358       298.873
     0.687085      0.657312       1.09436       282.335
     0.495292      0.751244       1.05703       308.629
     0.386886      0.796112       1.05931       289.159
     0.912882       1.09175        1.0922       293.318
     0.611731       1.14388       1.09284       302.308
     0.912894       1.14246       1.05465       292.349
     0.686519      0.743018       1.14523       278.412
     0.689295      0.806348       1.14399       303.186
     0.495328      0.950399        1.1065       311.894
     0.612945      0.944867       1.14287       293.044
     0.310628       1.09398       1.10627       313.107
     0.612617       1.14314       1.10383        303.38
     0.688924      0.743857       1.15656       300.637
     0.795272      0.891955       1.16268       315.564
     0.804728      0.891955       1.16268       314.405
     0.311411      0.992369        1.1939       306.264
     0.311756       1.05676       1.19506       299.149
     0.312502      0.894726       1.20545        301.26
     0.795214      0.863849       1.24574       308.163
     0.804786      0.863849       1.24574        306.96
     0.313066      0.945485       1.24198        297.74
     0.795272      0.935403       1.20719       309.083
