#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497       282.923
     0.557814      0.747833      0.853327       304.728
     0.257991       0.96662      0.855041       276.854
     0.257794       0.96429      0.903364       307.861
     0.612926       1.00811      0.954911       290.956
     0.312852       1.05816        1.0564       292.625
     0.313318      0.859674       1.15537       286.698
     0.311458       1.05658       1.20625       302.178
     0.557745       0.89419       0.75114        304.52
     0.251533      0.842823      0.793507       293.059
     0.550632      0.844108      0.793936       296.943
     0.742187      0.851435      0.754611        293.43
     0.551473      0.893068      0.757303       290.528
     0.257843       0.95084       0.79388       309.484
     0.251533      0.957177      0.793507       293.092
     0.442011       1.09369      0.804892       278.534
     0.257841      0.750643      0.845653       308.948
         0.85      0.743755       0.84373       300.807
      0.25152      0.757168      0.845171       292.445
     0.387032      0.757376      0.845008       283.882
     0.742189      0.813446      0.804762       295.161
     0.742168      0.886074      0.841342       302.209
      0.25152       1.04283      0.845171       292.905
     0.387025      0.695481      0.857748       287.879
     0.551509      0.742262      0.855498       288.813
     0.257991       0.83338      0.855041        276.54
     0.850606      0.844184      0.892693       290.176
     0.442181      0.937768       0.89121       314.513
     0.912805      0.943511      0.857973       285.147
     0.913038       1.14399       0.89569        289.02
     0.387023      0.644593      0.944683       283.953
     0.556871      0.699653      0.945171       301.798
     0.687042      0.694287      0.945339       284.348
     0.550766       0.70684      0.943642       292.694
     0.387144       0.75756      0.905371       286.373
     0.557779      0.794387      0.952241       306.837
     0.257794       0.83571      0.903364        307.88
     0.851527      0.844176      0.903931       285.514
     0.910977       1.14409      0.943675       300.314
     0.911692       1.15509      0.943849       295.599
     0.386903      0.654712      0.993903       287.639
     0.688563      0.656299      0.994548        294.76
     0.551473      0.744246      0.993007       291.049
     0.689601      0.706093      0.956533       303.185
     0.857767      0.740785       1.00021       303.216
     0.551516       0.79322      0.958079       291.829
     0.687072      0.693273        1.0423       284.796
     0.851544      0.741663       1.00668       289.032
     0.611332       1.14507       1.04367       290.742
     0.611317        1.1553       1.04358       293.629
     0.687085      0.657312       1.09436        284.04
     0.495292      0.751244       1.05703       300.888
     0.386886      0.796112       1.05931       280.392
     0.912882       1.09175        1.0922       287.217
     0.611731       1.14388       1.09284       290.705
     0.912894       1.14246       1.05465       288.608
     0.686519      0.743018       1.14523       277.327
     0.689295      0.806348       1.14399       299.604
     0.495328      0.950399        1.1065       306.085
     0.612945      0.944867       1.14287       286.874
     0.310628       1.09398       1.10627        309.35
     0.612617       1.14314       1.10383       290.643
     0.688924      0.743857       1.15656       297.321
     0.795272      0.891955       1.16268       305.118
     0.804728      0.891955       1.16268       304.295
     0.311411      0.992369        1.1939       302.078
     0.311756       1.05676       1.19506       297.351
     0.312502      0.894726       1.20545       296.705
     0.795214      0.863849       1.24574       299.424
     0.804786      0.863849       1.24574       298.733
     0.313066      0.945485       1.24198       293.308
     0.795272      0.935403       1.20719       297.397
     0.804728      0.935403       1.20719       296.803
     0.311597      0.957384       1.24295       301.677
     0.266289      0.916437       0.76047       313.136
         0.75      0.968454       0.75598       299.593
     0.748267      0.968768      0.766286       279.585
     0.748463       1.01788       0.75756       287.028
     0.749356       1.00581      0.768134       293.441
     0.748562      0.819898      0.806476       280.928
      0.91875       1.00324      0.815161       281.444
     0.912967       1.00533      0.819908        285.73
     0.566202       0.74779      0.853612       304.091
     0.266189      0.966621      0.855045       276.108
     0.257861      0.763981      0.917751        306.92
     0.374667      0.757497      0.905367        295.37
     0.566241      0.760954      0.916255       305.315
     0.374928      0.807347      0.917673       283.446
     0.266201       0.96437      0.903532       306.816
      0.91875       1.01894      0.893224       247.959
      0.67188      0.705903      0.956575       302.555
     0.612941        1.0586      0.966908       290.363
         0.45       1.01863       1.00653       305.131
     0.804767       1.05631       1.02612        304.93
      0.31875       1.10848       1.01627       276.624
     0.312817       1.10405       1.01797       290.625
     0.449391       1.10475       1.01903       292.074
     0.617247       1.11711      0.997424       280.045
     0.910705       1.11886       1.00633       300.364
     0.374779      0.805665       1.11755       295.785
     0.672711      0.856324       1.11909       297.175
     0.809835      0.867726       1.11818       285.575
      0.31875      0.910704       1.11883       278.258
     0.312877      0.904916       1.11853       291.395
     0.610629      0.968756       1.10635       301.161
     0.804742       1.02469       1.10678       300.297
      0.91875       1.01967       1.10631       242.672
     0.913654       1.01959       1.10289       275.177
      0.31875       1.07766       1.11786       282.535
      0.61875       1.14844       1.10274       287.692
     0.671711      0.818751       1.16879       301.644
     0.804764       1.02617       1.17037       301.439
      0.31875       1.07682       1.16841       272.737
     0.674715      0.768605       1.20505       284.884
     0.505086      0.924693       1.21678       295.569
         0.81      0.918227       1.21834       298.629
     0.313691       1.05609       1.21647       284.753
     0.557801      0.783913      0.752575        308.51
     0.566195      0.783994      0.752597       305.521
     0.566207      0.894207      0.751151       306.132
     0.551481      0.732366      0.793432       293.215
     0.557769      0.726582      0.791968       308.878
     0.566169      0.726614      0.791879       306.622
     0.551562      0.782512      0.757904       291.059
         0.55      0.781558      0.768802       301.124
     0.550776      0.781011      0.780521       290.271
      0.55697      0.781685      0.787587       311.148
     0.551485      0.832127      0.792677       288.428
     0.733835      0.851465      0.754593       297.151
     0.250807       0.88138      0.754792       293.365
     0.266289      0.883563       0.76047       313.336
     0.550634      0.880991      0.756089       298.601
     0.266168       0.95085       0.79395       307.343
     0.433831      0.930896      0.788128       306.152
         0.25      0.968881      0.793725       307.837
     0.433817        1.0937      0.804893       278.262
      0.38125      0.696646      0.852673       301.189
      0.26619      0.750732      0.845453       307.121
     0.374796      0.757272       0.84501        293.58
     0.733827      0.813461      0.804824       299.123
     0.550633      0.894199      0.831575       297.371
     0.551476      0.882108       0.83067       290.921
     0.557733      0.881345      0.837302       304.871
     0.733799      0.886057      0.841401       300.791
      0.91875      0.942288      0.853012       266.419
     0.442194       1.03322      0.835486       301.601
     0.910454       1.00645      0.831373       302.568
     0.374805      0.695363      0.857743       298.961
         0.55      0.693964      0.881234       298.286
     0.551728      0.682369      0.891976       281.695
     0.550699      0.682653      0.879818       284.191
     0.557933      0.676311      0.890631       281.014
     0.566229      0.676524      0.890794        279.63
         0.85      0.682208      0.868984       297.893
     0.851715      0.733348      0.866122       281.001
     0.742175      0.801453      0.876985       309.922
     0.733746       0.80174      0.877534       306.843
      0.85174       0.79496      0.867234       280.428
     0.251744      0.828444      0.854821       287.165
     0.266189      0.833379      0.855045       275.807
     0.374822      0.830192      0.869242       291.409
     0.371728      0.818694      0.893791       303.808
         0.39      0.818751      0.893748       310.297
