#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497        277.26
     0.557814      0.747833      0.853327       310.442
     0.257991       0.96662      0.855041       278.319
     0.257794       0.96429      0.903364       309.516
     0.612926       1.00811      0.954911       296.243
     0.312852       1.05816        1.0564       294.618
     0.313318      0.859674       1.15537        288.28
     0.311458       1.05658       1.20625       302.792
     0.557745       0.89419       0.75114       307.514
     0.251533      0.842823      0.793507       294.352
     0.550632      0.844108      0.793936       302.633
     0.742187      0.851435      0.754611       285.862
     0.551473      0.893068      0.757303        294.12
     0.257843       0.95084       0.79388       310.566
     0.251533      0.957177      0.793507       294.337
     0.442011       1.09369      0.804892       279.415
     0.257841      0.750643      0.845653       310.872
         0.85      0.743755       0.84373       301.382
      0.25152      0.757168      0.845171       294.857
     0.387032      0.757376      0.845008       290.688
     0.742189      0.813446      0.804762       299.175
     0.742168      0.886074      0.841342        306.99
      0.25152       1.04283      0.845171       294.875
     0.387025      0.695481      0.857748       292.682
     0.551509      0.742262      0.855498       293.717
     0.257991       0.83338      0.855041       278.325
     0.850606      0.844184      0.892693       293.068
     0.442181      0.937768       0.89121       316.421
     0.912805      0.943511      0.857973       287.315
     0.913038       1.14399       0.89569        283.06
     0.387023      0.644593      0.944683       286.583
     0.556871      0.699653      0.945171       305.812
     0.687042      0.694287      0.945339        275.54
     0.550766       0.70684      0.943642       296.768
     0.387144       0.75756      0.905371       290.604
     0.557779      0.794387      0.952241       310.233
     0.257794       0.83571      0.903364       309.555
     0.851527      0.844176      0.903931       288.366
     0.910977       1.14409      0.943675       292.906
     0.911692       1.15509      0.943849       288.917
     0.386903      0.654712      0.993903       285.882
     0.688563      0.656299      0.994548       287.881
     0.551473      0.744246      0.993007       294.253
     0.689601      0.706093      0.956533       291.554
     0.857767      0.740785       1.00021       305.591
     0.551516       0.79322      0.958079       295.365
     0.687072      0.693273        1.0423       274.047
     0.851544      0.741663       1.00668       291.782
     0.611332       1.14507       1.04367       293.573
     0.611317        1.1553       1.04358       295.657
     0.687085      0.657312       1.09436        273.96
     0.495292      0.751244       1.05703       301.039
     0.386886      0.796112       1.05931       286.249
     0.912882       1.09175        1.0922       284.731
     0.611731       1.14388       1.09284       297.014
     0.912894       1.14246       1.05465       288.858
     0.686519      0.743018       1.14523       272.142
     0.689295      0.806348       1.14399       297.985
     0.495328      0.950399        1.1065       309.918
     0.612945      0.944867       1.14287       283.382
     0.310628       1.09398       1.10627       311.052
     0.612617       1.14314       1.10383       297.004
     0.688924      0.743857       1.15656       290.559
     0.795272      0.891955       1.16268       309.105
     0.804728      0.891955       1.16268       307.396
     0.311411      0.992369        1.1939       303.494
     0.311756       1.05676       1.19506       297.912
     0.312502      0.894726       1.20545       298.605
     0.795214      0.863849       1.24574       303.318
     0.804786      0.863849       1.24574       299.853
     0.313066      0.945485       1.24198       295.244
     0.795272      0.935403       1.20719        305.87
