#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497       277.538
     0.557814      0.747833      0.853327       310.417
     0.257991       0.96662      0.855041       278.322
     0.257794       0.96429      0.903364       309.519
     0.612926       1.00811      0.954911       296.278
     0.312852       1.05816        1.0564       294.611
     0.313318      0.859674       1.15537       288.286
     0.311458       1.05658       1.20625       302.797
     0.557745       0.89419       0.75114       307.543
     0.251533      0.842823      0.793507       294.355
     0.550632      0.844108      0.793936       302.576
     0.742187      0.851435      0.754611       287.673
     0.551473      0.893068      0.757303       294.138
     0.257843       0.95084       0.79388       310.567
     0.251533      0.957177      0.793507       294.338
     0.442011       1.09369      0.804892       279.433
     0.257841      0.750643      0.845653       310.876
         0.85      0.743755       0.84373       298.845
      0.25152      0.757168      0.845171       294.861
     0.387032      0.757376      0.845008       290.732
     0.742189      0.813446      0.804762       299.906
     0.742168      0.886074      0.841342       307.046
      0.25152       1.04283      0.845171       294.879
     0.387025      0.695481      0.857748       292.632
     0.551509      0.742262      0.855498       293.681
     0.257991       0.83338      0.855041       278.328
     0.850606      0.844184      0.892693       291.155
     0.442181      0.937768       0.89121       316.436
     0.912805      0.943511      0.857973       287.966
     0.913038       1.14399       0.89569       284.465
     0.387023      0.644593      0.944683       286.637
     0.556871      0.699653      0.945171       305.815
     0.687042      0.694287      0.945339       276.182
     0.550766       0.70684      0.943642       296.772
     0.387144       0.75756      0.905371       290.009
     0.557779      0.794387      0.952241       310.248
     0.257794       0.83571      0.903364       309.559
     0.851527      0.844176      0.903931       286.318
     0.910977       1.14409      0.943675       293.972
     0.911692       1.15509      0.943849       289.572
     0.386903      0.654712      0.993903       285.807
     0.688563      0.656299      0.994548       287.506
     0.551473      0.744246      0.993007       294.265
     0.689601      0.706093      0.956533       291.698
     0.857767      0.740785       1.00021       306.088
     0.551516       0.79322      0.958079       295.381
     0.687072      0.693273        1.0423       273.698
     0.851544      0.741663       1.00668       292.217
     0.611332       1.14507       1.04367       293.713
     0.611317        1.1553       1.04358        295.77
     0.687085      0.657312       1.09436       272.405
     0.495292      0.751244       1.05703       300.873
     0.386886      0.796112       1.05931        286.32
     0.912882       1.09175        1.0922       286.174
     0.611731       1.14388       1.09284       296.982
     0.912894       1.14246       1.05465       290.868
     0.686519      0.743018       1.14523       273.183
     0.689295      0.806348       1.14399       297.305
     0.495328      0.950399        1.1065       309.928
     0.612945      0.944867       1.14287       283.784
     0.310628       1.09398       1.10627        311.06
     0.612617       1.14314       1.10383        296.86
     0.688924      0.743857       1.15656       290.113
     0.795272      0.891955       1.16268       309.592
     0.804728      0.891955       1.16268       307.908
     0.311411      0.992369        1.1939         303.5
     0.311756       1.05676       1.19506       297.917
     0.312502      0.894726       1.20545       298.607
     0.795214      0.863849       1.24574       303.458
     0.804786      0.863849       1.24574       300.039
     0.313066      0.945485       1.24198       295.246
     0.795272      0.935403       1.20719       305.576
     0.804728      0.935403       1.20719        303.54
     0.311597      0.957384       1.24295       303.706
     0.266289      0.916437       0.76047       313.908
         0.75      0.968454       0.75598       289.071
     0.748267      0.968768      0.766286       279.274
     0.748463       1.01788       0.75756       263.249
     0.749356       1.00581      0.768134       270.689
     0.748562      0.819898      0.806476       277.587
      0.91875       1.00324      0.815161       282.458
     0.912967       1.00533      0.819908       287.592
     0.566202       0.74779      0.853612       309.645
     0.266189      0.966621      0.855045       277.589
     0.257861      0.763981      0.917751       308.485
     0.374667      0.757497      0.905367       297.738
     0.566241      0.760954      0.916255       308.654
     0.374928      0.807347      0.917673       289.031
     0.266201       0.96437      0.903532        308.49
      0.91875       1.01894      0.893224       251.099
      0.67188      0.705903      0.956575       304.551
     0.612941        1.0586      0.966908       295.112
         0.45       1.01863       1.00653       304.172
     0.804767       1.05631       1.02612       307.343
      0.31875       1.10848       1.01627       278.147
     0.312817       1.10405       1.01797       292.718
     0.449391       1.10475       1.01903       295.023
     0.617247       1.11711      0.997424       281.966
     0.910705       1.11886       1.00633       295.954
     0.374779      0.805665       1.11755       297.026
     0.672711      0.856324       1.11909       302.278
     0.809835      0.867726       1.11818       284.711
      0.31875      0.910704       1.11883       279.701
     0.312877      0.904916       1.11853       292.966
     0.610629      0.968756       1.10635       304.653
     0.804742       1.02469       1.10678       300.733
      0.91875       1.01967       1.10631       221.672
     0.913654       1.01959       1.10289       255.755
      0.31875       1.07766       1.11786       283.774
      0.61875       1.14844       1.10274       292.497
     0.671711      0.818751       1.16879       308.934
     0.804764       1.02617       1.17037       301.508
      0.31875       1.07682       1.16841       273.439
     0.674715      0.768605       1.20505       292.094
     0.505086      0.924693       1.21678       301.254
         0.81      0.918227       1.21834       278.501
     0.313691       1.05609       1.21647       285.399
     0.557801      0.783913      0.752575        309.26
     0.566195      0.783994      0.752597       305.425
     0.566207      0.894207      0.751151       308.752
     0.551481      0.732366      0.793432        292.38
     0.557769      0.726582      0.791968       308.372
     0.566169      0.726614      0.791879        305.78
     0.551562      0.782512      0.757904       292.592
         0.55      0.781558      0.768802       302.419
     0.550776      0.781011      0.780521       292.175
      0.55697      0.781685      0.787587       312.891
     0.551485      0.832127      0.792677       293.863
     0.733835      0.851465      0.754593       302.161
     0.250807       0.88138      0.754792       293.942
     0.266289      0.883563       0.76047        313.94
     0.550634      0.880991      0.756089       302.763
     0.266168       0.95085       0.79395       308.416
     0.433831      0.930896      0.788128       309.122
         0.25      0.968881      0.793725       309.127
     0.433817        1.0937      0.804893       279.257
      0.38125      0.696646      0.852673       302.852
      0.26619      0.750732      0.845453       308.835
     0.374796      0.757272       0.84501       296.648
     0.733827      0.813461      0.804824       304.928
     0.550633      0.894199      0.831575       300.631
     0.551476      0.882108       0.83067       293.251
     0.557733      0.881345      0.837302       306.876
     0.733799      0.886057      0.841401       306.066
      0.91875      0.942288      0.853012       268.519
     0.442194       1.03322      0.835486       305.509
     0.910454       1.00645      0.831373       304.276
     0.374805      0.695363      0.857743       301.044
         0.55      0.693964      0.881234        307.43
     0.551728      0.682369      0.891976       290.502
     0.550699      0.682653      0.879818       292.394
     0.557933      0.676311      0.890631       287.956
     0.566229      0.676524      0.890794       283.885
         0.85      0.682208      0.868984       297.473
     0.851715      0.733348      0.866122       279.222
     0.742175      0.801453      0.876985       312.688
     0.733746       0.80174      0.877534       310.508
      0.85174       0.79496      0.867234       279.134
     0.251744      0.828444      0.854821       289.333
     0.266189      0.833379      0.855045       277.593
     0.374822      0.830192      0.869242       295.619
     0.371728      0.818694      0.893791        308.96
         0.39      0.818751      0.893748        310.75
      0.55784      0.901975      0.883202       309.179
     0.566177       0.90199      0.883251       307.181
     0.733625      0.862705      0.883616       311.833
         0.85      0.856768      0.881343       294.458
     0.433794      0.937756      0.891247       315.602
         0.55      0.943675      0.868588       302.326
     0.551572      0.907561      0.881722       290.078
         0.55      0.918984      0.881632       301.056
         0.25      0.981658      0.855477       308.868
     0.910401      0.956387      0.881138        307.23
